day,name,address,city,codes,map,
"Saturday, 	12:00 PM",Grupo Geneva,71 Templeton Ave.,Daly City,E,http://goo.gl/maps/k4GbE,
"Sunday, 	6:30 PM",Sendero De Vida,102 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Monday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Tuesday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Wednesday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Thursday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Friday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Saturday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,E,http://goo.gl/maps/HrGHh,
"Wednesday, 	8:00 PM",BACK TO THE WORLD GROUP,139 Primrose at Howard,Burlingame,H,http://goo.gl/maps/X1hwU,
"Monday, 	8:00 PM",PEOPLE OF WORTH Big Book Study,139 Primrose at Howard,Burlingame,L,http://goo.gl/maps/X1hwU,
"Sunday, 	8:00 PM",SUNDAY SPECIAL-AS BILL SEES IT,139 Primrose at Howard,Burlingame,H,http://goo.gl/maps/X1hwU,
"Tuesday, 	8:00 PM",12 + 12 FRIENDSHIP GROUP,"139 Primrose at Howard, Next to Primrose Center",Burlingame,H,http://goo.gl/maps/X1hwU,
"Monday, 	12:00 PM",MONDAY NOON MEETING,149 Clinton,Redwood City,L,http://goo.gl/maps/KQ1is,
"Saturday, 	11:00 AM",ANY LENGTH GROUP,1600 Trousdale Ave.,Burlingame,"H,SP,Wh",http://goo.gl/maps/Yp5XW,
"Thursday, 	7:00 PM",Tres Legados,"171 5th Av, #210",Redwood City,E,http://goo.gl/maps/9X1Zd,
"Monday, 	7:00 PM",Tres Legados,171 5th Av. #206,Redwood City,E,http://goo.gl/maps/9X1Zd,
"Sunday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,http://goo.gl/maps/9X1Zd,
"Tuesday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,http://goo.gl/maps/9X1Zd,
"Wednesday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,http://goo.gl/maps/9X1Zd,
"Friday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,http://goo.gl/maps/9X1Zd,
"Saturday, 	7:00 PM",Tres Legados,171 5th Ave #210,Redwood City,E,http://goo.gl/maps/9X1Zd,
"Monday, 	6:30 PM",MONDAY NIGHT MEN'S AA ,1st Presby Church	25th & Hacienda (downstairs-courtyard),San Mateo,"C,D,H",http://goo.gl/maps/ICAx3,
"Sunday, 	7:30 PM",SUNDAY NITE DISCUSSION,1st Presby Church El Camino & Easton,Burlingame,H,http://goo.gl/maps/HVP0X,
"Sunday, 	6:00 PM",Oportunidad de Vivir,2151 Euclid,East Palo Alto,E,http://goo.gl/maps/R1oUH,
"Monday, 	6:00 PM",Oportunidad de Vivir,2151 Euclid,East Palo Alto,E,http://goo.gl/maps/R1oUH,
